Date,1990_base,1990_cc_h0,1990_cc_h5,1990_cc_all_h5,1995_base,1995_cc_h0,1995_cc_h5,1995_cc_all_h5,2000_base,2000_cc_h0,2000_cc_h5,2000_cc_all_h5,2005_base,2005_cc_h0,2005_cc_h5,2005_cc_all_h5,2010_base,2010_cc_h0,2010_cc_h5,2010_cc_all_h5,2015_base,2015_cc_h0,2015_cc_h5,2015_cc_all_h5,2020_base,2020_cc_h0,2020_cc_h5,2020_cc_all_h5
2014-04-11,23799446.31121065,120843730.5540342,83370744.14555769,271601802.07372916,9063931.33184534,15891203.964028297,12868190.570835393,35833258.95679958,8904556.469886295,21578240.966094617,16564332.144722506,27816533.29296027,2647375.7297992343,4496669.496263569,3767050.159956153,4894863.78024247,2063726.3674063035,2212440.010755687,2114549.6486736876,2268918.7097117,,,,,,,,
2014-04-18,24273281.025858924,122933445.47907804,84794774.40307158,276640711.08132684,9128031.506783891,15996967.571809223,12972290.682701284,36219589.52769489,9039223.260093972,21889431.9323018,16796062.40467526,28242700.02877465,2662682.3672591923,4487993.559550689,3760940.5745750065,4866675.407953994,2086610.414907277,2237798.00314976,2138105.108857562,2296183.705915808,,,,,,,,
2014-04-25,24223000.74401824,122661881.55868223,84574361.72729003,276676342.9010877,9108818.09572084,15957385.46840285,12934428.416936018,36210812.72766076,9033154.868747048,21967166.302609317,16853847.881017093,28385404.522474155,2648783.5171329244,4485063.863660458,3760105.6810982623,4871955.429459595,2074977.2118297496,2229874.6308106235,2129791.3995801015,2278269.3455491527,,,,,,,,
2014-05-02,24432721.760282967,124634106.86960933,85911883.59577572,280441754.6889332,9171017.026275456,16061026.448464679,13021652.260538062,36538064.325427406,9062988.073347889,22052775.078564618,16968936.746433336,28635544.90799806,2654059.824027874,4505787.445044866,3776401.7416281416,4898121.133049366,2090537.854004832,2250113.5889709545,2148396.0571794775,2299772.188263297,,,,,,,,
2014-05-09,24788708.85673922,126540191.70966208,87240856.14600736,284025447.4473067,9291237.560060484,16262573.198949615,13180189.677536981,36878957.13523263,9134429.78852861,22201977.91928215,17085648.394652724,28833019.276350684,2688540.478641273,4563514.135272973,3823815.695133318,4962337.9749039365,2115394.480800166,2272371.5425470336,2170403.866864741,2320565.068369933,,,,,,,,
2014-05-16,24552902.43016449,125513919.44417258,86530726.02067012,283861107.08090264,9239303.378233228,16205378.34920528,13133818.043542845,36824616.39791787,9087752.731419995,22101127.799118005,17013762.42185283,28771477.678899895,2680357.5829030317,4570051.081761058,3827967.3613960547,4974115.173004934,2116069.270230853,2280333.334589323,2178256.947995288,2332202.267145599,,,,,,,,
2014-05-23,24715839.23913113,126948991.4741996,87540629.67745994,286347320.74080604,9326747.624003274,16365968.844646683,13260031.72024852,37168073.922618926,9150133.620780392,22332212.37657644,17167608.48255869,29063031.49187144,2677511.757801245,4589066.255149626,3837943.8107641246,4989651.55060091,2128912.6491003605,2303226.766715461,2197815.0196576077,2338840.36615508,,,,,,,,
2014-05-30,25138125.634231437,129184857.46480228,89072645.02661175,289923867.1449521,9482998.483652037,16656841.169389479,13491847.991067005,37745748.45007964,9172282.373599522,22465594.46035397,17257434.4232006,29262285.33657659,2700594.608535832,4622824.163600182,3865600.3361792224,5021613.402376748,2152768.861547798,2330370.6472011534,2223076.0484939795,2360126.6944714184,,,,,,,,
2014-06-06,25463286.952586956,131405368.79211363,90581488.50604314,294037673.34531474,9593114.972406637,16863447.056865875,13660373.182712177,38189194.19732255,9362048.270859567,22939293.1578,17617004.126871593,29617927.95592922,2740530.588023861,4674977.979125079,3911600.1129090753,5073069.699682686,2181330.642863172,2357181.379967109,2249024.9061159324,2381792.527482535,,,,,,,,
2014-06-13,24982135.66666929,129436199.30283505,89227110.85623091,291366392.14056593,9512292.115787871,16938439.87716575,13704363.698423136,38136630.46038797,9140130.1120815,22491125.265156236,17294103.900505334,29139356.620419465,2686370.6041089967,4624701.798247016,3868377.074402245,5030811.135482038,2146114.3451031703,2328484.0155940587,2221347.9650465664,2363296.89990915,,,,,,,,
