Date,1990_none,1990_cc_always,1990_wheel,1995_none,1995_cc_always,1995_wheel,2000_none,2000_cc_always,2000_wheel,2005_none,2005_cc_always,2005_wheel,2010_none,2010_cc_always,2010_wheel,2015_none,2015_cc_always,2015_wheel,2020_none,2020_cc_always,2020_wheel
2017-02-03,33718478.699095465,1152213341.0390668,732828647.791945,13678562.207762105,254932187.6034078,151734791.75530922,14077065.79125857,74201660.0553349,57505303.257196695,4251165.116592011,12918762.145763813,11485726.13914334,3241323.988197665,4445044.370317436,3210727.768020026,1109772.9644830846,1245662.7630957605,1191319.095121392,,,
2017-02-06,33641940.33042387,1151970187.5595124,732675420.5962878,13612546.043050898,254126611.0747058,151253185.70143414,14047114.385079343,74026466.07897982,57370950.62933359,4232150.106735339,12878966.114910988,11449696.516082862,3240749.466367267,4448355.196464108,3212260.097282092,1109665.6354911046,1247436.2210750675,1192552.5214446106,,,
2017-02-07,33782064.632327445,1155441213.8804302,734888509.9959878,13630393.322843038,254708034.58438691,151591503.4793702,14142507.366012035,74458595.63596977,57705527.27073652,4240244.68740631,12902837.406376274,11470778.45740089,3247973.249171772,4463103.119159696,3223523.2744368156,1114906.8838763486,1252899.9857107177,1197412.7406897708,,,
2017-02-08,33901294.96800851,1156529791.209862,735548612.9127815,13660894.512887942,254948756.015187,151744779.68442684,14369919.157819135,75173368.52824448,58250361.92759788,4255484.452849825,12911687.448860835,11478239.625054281,3259896.5962005653,4473846.065500497,3229332.4156595916,1122577.3901069292,1258812.0802617788,1202733.8661269126,,,
2017-02-09,34127740.04800244,1161012614.7180145,738380468.8362143,13689278.019361895,252555940.12657043,150354082.34937668,14520535.88499783,75967572.73530744,58861947.945138715,4281745.771430017,12958348.561282787,11519454.804414215,3281473.0662414953,4495767.966206996,3243518.197905571,1133474.0506597601,1268274.1303421617,1210818.247770086,,,
2017-02-10,34324086.70574266,1163766812.9179819,740132590.6795609,13735562.628207952,252335683.90323567,150227065.33433777,14527373.10187253,75747615.2939926,58694915.81416936,4307676.6929453425,13000919.384110117,11556765.721697045,3295647.3080778136,4507386.831317006,3251704.073890696,1134901.8118565157,1270783.0166604659,1213025.513541797,,,
2017-02-13,34440535.412181556,1168569844.6182353,743198438.8906225,13802007.907432057,254185209.3853354,151330719.89556012,14472598.330266517,75826437.58841218,58761909.182260804,4314309.267297805,13068685.386493262,11617865.836417228,3304443.4105854495,4526208.355256507,3266045.330005283,1136525.2847972966,1274732.596711692,1216324.975244104,,,
2017-02-14,34607202.90554664,1172360474.6067522,745601796.5954133,13865969.623349782,254996252.0782595,151828407.11153474,14580628.289782774,76451787.31710595,59245185.801751375,4350446.616875433,13148143.492820589,11688165.397642516,3327121.6316408846,4547565.13410552,3280412.3247079863,1141530.8306497582,1279393.7068100574,1220411.5995368138,,,
2017-02-15,34695442.121768,1171654226.7178252,745147733.6905506,13915325.235924046,255336460.96918452,152041641.5322798,14642471.664378684,76330354.65917282,59154875.2098965,4374584.911416148,13197812.977027016,11732581.352628287,3338533.748208095,4552929.92127874,3283819.5328326426,1146704.2814674836,1281245.7738435613,1222099.5237742583,,,
2017-02-16,34713642.912961036,1172699218.2138147,745822766.6882492,13935834.870759692,256939799.96072626,152977304.68274894,14545077.291021572,76192230.17597172,59052918.82979661,4353754.347841721,13195871.882814987,11732152.262401057,3331326.7623142772,4561293.170953814,3291466.273881199,1144044.4265852072,1281224.9937897658,1222089.1655887752,,,
2017-02-17,34810348.121056795,1170328372.0024261,744289734.2174381,13874544.321338706,256308979.7951456,152512266.06337997,14642929.98172302,76720837.63422455,59459766.00998072,4338422.597586568,13015491.96806173,11570246.236935537,3328857.396789364,4560713.337733546,3295773.310242582,1148644.328393411,1284922.895848979,1225217.8027978358,,,
2017-02-21,35093801.14673089,1175194623.7702332,747385186.6959054,14002177.100014847,257500820.6293601,153242948.02819437,14671563.13677241,77063974.17446099,59725793.21481865,4365474.38284241,13112051.547944637,11657729.143906161,3346651.211927954,4581619.139385612,3309086.884830905,1157861.7582789513,1295291.7452065605,1233789.3742844334,,,
2017-02-22,35140140.11536882,1174550857.5869684,746963901.8513023,14006743.608687889,256228106.3059512,152502130.80435413,14655077.64878926,76837422.43328062,59548140.69926729,4366871.014489037,13115373.32590237,11660350.012498572,3354564.396153841,4589265.046544285,3314307.2738482687,1155066.3947937933,1294266.1805981295,1233262.8709870006,,,
2017-02-23,35017670.63263761,1168131584.891915,742855094.9838066,14034573.89633786,256409979.50544792,152619705.40476096,14577997.36936553,76662084.6409347,59419534.94411384,4374393.61013526,13145836.188153172,11687030.47355142,3351931.8726394167,4586347.905439654,3313734.1223249515,1152387.422142595,1293159.478483691,1232396.353220935,,,
2017-02-24,35203347.63329902,1170584865.7310393,744410026.8959578,14110233.463573892,257957569.0012836,153535805.72642422,14716218.002086625,77349228.14354618,59945172.152902804,4407918.460248249,13193566.195587229,11729564.1712378,3374067.520049016,4605662.500080748,3326083.846891413,1157334.2384080342,1297493.8066685859,1236162.3650007464,,,
2017-02-27,35123250.65076276,1171215409.14591,744819130.8478844,14109178.046709698,258054909.90307695,153606102.2841072,14734477.301683577,77678638.77846232,60205091.469938666,4418462.754300207,13234064.09154184,11765402.07764598,3376324.8485375326,4608729.724317659,3327465.0474574524,1153815.650102728,1297913.6095265157,1236629.4002097012,,,
2017-02-28,35032595.76234771,1167873807.8675988,742682742.1927708,14067651.634144971,256889192.58533278,152914955.2428889,14633930.34166811,76195395.57550542,59051052.83960653,4397662.378240239,13188699.321876386,11725196.99712524,3365939.768234147,4593585.343405462,3317193.321266293,1149004.552510028,1292142.4945037216,1231006.7360876417,,,
2017-03-01,35478450.67326582,1180212197.022943,750544945.7386434,14210464.934880426,257704882.61844042,153405892.25222936,14689269.529454881,76449322.89757574,59266055.80686189,4441416.011722619,13272794.865798982,11801329.70577217,3398714.63273044,4621287.324377701,3338220.6608578553,1162563.4827582713,1302368.143960788,1239792.1920331346,,,
2017-03-02,35357820.751930326,1174351994.7077434,746771651.9679519,14163211.262141138,257723007.78867412,153429395.27852628,14715495.686822265,76816127.7313371,59539452.386488214,4442005.635875484,13289367.194710892,11814421.519737283,3391097.248676574,4625270.958898931,3338794.5536992704,1167252.9388670563,1306175.3161804776,1243467.8173200744,,,
2017-03-03,35261945.61862297,1177623572.8863263,748874532.8213209,14150633.892547674,258313321.71291333,153780513.50942677,14635239.5871725,76915396.2281259,59623454.748626426,4435112.562152254,13320122.170790566,11842525.798127353,3386191.31383308,4627408.732349429,3341051.582933105,1168659.9748378983,1309260.2238982287,1246053.9807092163,,,
2017-03-06,35204274.18108991,1176677616.3248491,748275460.4609487,14135754.575981358,257770268.24976632,153466034.24542946,14569405.092550974,76458882.02091745,59266607.24313615,4431780.563626719,13334087.379257167,11855143.736613236,3386325.6504293215,4631344.3976641195,3343137.639408108,1160305.5018227703,1304102.502525405,1242084.6848675723,,,
2017-03-07,35146326.51584651,1176700247.1568606,748284868.2682222,14128087.635890303,258141063.11962873,153679694.33193263,14495045.67815449,76029997.06827551,58932706.100279726,4422613.835007219,13319446.389627663,11842646.485980496,3378194.3594503608,4628942.11843023,3342862.1698278203,1156305.8557317883,1301358.6526393897,1239784.1907815568,,,
