Date,1990_none,1990_ideal_d30,1995_none,1995_ideal_d30,2000_none,2000_ideal_d30,2005_none,2005_ideal_d30,2010_none,2010_ideal_d30,2015_none,2015_ideal_d30,2020_none,2020_ideal_d30
2021-08-20,76360030.35307236,458567171.8588684,33622265.5339701,74937621.4975981,31188849.582642913,97603467.04119453,10404357.184108492,27577002.38539473,9445545.541210555,12345047.904089084,3094350.489205108,3834351.5188562414,1643217.7915396958,1774358.2389432832
2021-08-27,76814237.60609466,465624904.41911846,33493431.78726239,74746599.00673544,30472417.052042257,95372732.94411255,10319282.091835137,27612925.487708602,9443393.30485181,12414500.777143601,3110533.560793517,3871983.6920188214,1669853.5427837742,1801551.9812693438
2021-09-03,76646729.44385853,466359303.4284149,33541001.391388424,75118268.34367529,30360662.850891814,95656161.14574684,10340200.6072715,27804736.623758554,9499000.220732978,12515411.482018493,3137886.1681964034,3903705.691871644,1670606.5735134694,1804130.315394969
2021-09-10,75860668.33643892,460811266.6021811,33029859.076469533,73894616.54202129,30203791.51635235,94921110.45071994,10143420.475080268,27291044.403711084,9300687.356288295,12283407.094605125,3119344.996787277,3874427.7420628415,1661913.9311804695,1795141.7046569441
2021-09-17,75008171.04302217,458633227.0200039,33156724.046382584,74668716.04235768,30279215.303075485,95503553.33299907,10210329.917315217,27570498.37552149,9263320.525543667,12245142.321977612,3120543.276427492,3855027.3283175747,1676753.1299708155,1811581.7049321542
2021-09-24,74810708.78303356,460087594.04083097,32987975.234117772,74107235.2137579,30670119.76994399,95510874.2208383,10203975.932481347,27616392.075606607,9247338.113293523,12237601.846268525,3152270.8706781985,3893921.7958716336,1695774.4973817228,1836852.2234559737
2021-10-01,73479642.58912915,453888940.2982502,32306068.126401648,72616484.26711023,29928131.235489447,95521982.04807496,9808208.210339244,26715321.63664192,8917343.694030786,11831806.115283385,3031402.084346495,3766490.6434912,1619271.382991538,1763001.4144426724
2021-10-08,74935502.7764475,462422151.4166808,33132794.130472746,74348246.6909577,29925287.53799875,95956778.772965,9835833.147112256,27160124.17803595,9012550.025482384,11970417.495100113,3016470.834685323,3760541.2922186675,1632919.3331378358,1778481.3386835263
2021-10-15,76150597.04722436,465602346.1920399,33945201.43753874,76198801.02897193,30556034.039319515,98473911.52664456,10076978.409086391,28018244.465570208,9187624.61791041,12197420.149724625,3060809.089864275,3831589.3602480404,1682861.4102739026,1822047.0140240476
2021-10-22,77597502.48720358,470927494.9580549,34441706.00382905,76623092.08863789,31626427.96450681,101281771.09789817,10348918.806156168,28521208.227329586,9365836.747283153,12405680.526239172,3128219.430765525,3908664.1674301126,1718522.0597937058,1850985.0906173682
2021-10-29,78139203.69770259,469457798.4993722,35077034.60483849,77703351.51283824,31232497.394357294,101574266.75136204,10456317.536678862,28419522.132094514,9605080.857949797,12692497.454958105,3184522.9472334227,3970241.475022461,1739296.568471191,1870956.0330849423
2021-11-05,79949882.02353294,478440685.6971527,35598760.26131298,78696621.90970822,32153056.89557778,103492006.85107443,10766098.535617156,29229800.545170035,9829686.24643226,12872623.224433476,3326616.3035369134,4134831.1534523107,1832297.5048513315,1974852.0266975984
2021-11-12,78876846.68866563,473819238.8857373,35310086.57448423,78150438.98506701,32235732.01455271,104853229.7325078,10733699.915951697,29242255.921552643,9784264.492255611,12851969.037525078,3339978.16721562,4148211.1126657706,1842639.7753980549,1987423.2842930215
2021-11-19,79453599.4836783,465374719.12906384,35201859.06656444,77239058.2908521,32435952.687171176,107352693.078773,10882220.539334597,29279262.836892873,9964031.589776712,12955748.340488646,3412930.414629476,4196920.508706276,1833393.154086888,1975239.4160261606
2021-11-26,77133895.62538554,451070584.87821853,34521485.14220456,76242522.34927012,32100441.610835377,107253607.23474514,10684313.91657254,28970464.251951452,9728851.08209336,12753222.253450004,3309734.353129076,4106631.103569827,1783245.631526742,1927129.7526558703
2021-12-03,77399624.64877117,451975067.3559362,34511173.64830073,76646973.11386824,32371104.02394224,107002627.15256307,10699896.282402465,29092346.595368534,9757806.69049708,12776476.264995078,3304208.835818918,4117303.8095848854,1785517.2676875798,1932075.875920321
2021-12-10,79756394.34476939,469806164.424644,36304151.54385544,80421550.06380881,33564222.38267338,110105529.53976461,11163850.811738718,30376405.90745208,10230077.41805098,13372925.113282071,3480783.909324292,4313606.802819145,1875454.851278537,2028907.1048362502
2021-12-17,77001038.10019514,460742180.2768551,35454403.17854495,79693209.83660701,32850832.109639432,107591056.27754049,10953611.873163128,30188872.114204988,9956380.11245355,13065506.116781028,3415009.320636846,4217962.672588399,1833110.1261073845,1987799.3455067265
2021-12-24,78731245.93082456,471369620.4907948,36018556.10387532,81032326.67868084,33317407.82574656,109056413.80132191,11156121.432770802,30812158.082820933,10197863.43454435,13396877.007496294,3515383.3612556774,4357256.344518986,1898057.983895708,2056526.686438519
