Date,1990_dow_ds1,1990_dow_hammer,1990_claude_ds1,1990_claude_hammer,2000_dow_ds1,2000_dow_hammer,2000_claude_ds1,2000_claude_hammer,2015_dow_ds1,2015_dow_hammer,2015_claude_ds1,2015_claude_hammer
2021-10-18,41631717.67458429,30676139.19908411,31497388.692512043,11913396.163874857,9361700.20813641,1144126.9154999813,8502979.180534407,1603588.1994210642,342338.65848850575,384028.882305679,312825.5169076239,263135.8855750407
2021-10-19,42140137.228396304,30708860.37903481,31905301.226243813,11835068.389013227,9379633.520012138,1149561.6501003264,8515604.048088443,1587766.1771131754,344158.0735190143,387993.09349727276,314570.6021135491,262462.60444488516
2021-10-20,42439780.74714582,30927477.731336616,32160373.22098299,11847203.183564957,9406414.704534445,1149863.6567765523,8542145.59659411,1591583.5476523812,344302.78691261937,388648.6153145151,314584.6121362076,262400.01630499837
2021-10-21,42479995.76866303,30695138.673118588,32175971.817341417,11767121.679947443,9424411.634150015,1149663.157878744,8547011.022052454,1574707.5304835143,345767.4743255349,388591.21958800306,315458.44039803813,262854.61982644006
2021-10-22,42571485.38554506,31477955.766683303,32227603.947065882,11723191.332015501,9451165.566185847,1151692.8898509801,8571361.239841264,1583516.6383591818,345891.99181067495,390055.1535087518,315216.5983536254,262656.08971349604
2021-10-25,42683500.42231895,31332822.30340848,32322665.398527272,11801777.502518442,9484486.132356059,1154463.258942914,8583604.016590497,1584971.8223089243,346855.02201804443,391097.86304072593,316326.32298604725,262595.9063787821
2021-10-26,42760495.59504695,31303220.68397553,32413448.099184956,11844369.556690147,9480692.836155111,1154464.9758710673,8593739.34288643,1592967.2308360038,347157.97922567267,392441.44869304256,316564.7956476222,266648.1232040567
2021-10-27,42637492.68104307,31130643.52265714,32294626.968598664,11811035.467131078,9424129.695873585,1150831.6199121499,8542037.978623316,1595469.465349044,346023.4589024041,392579.1684480636,315895.91383776796,265786.76853600657
2021-10-28,43325527.73981679,30798614.77977543,32907020.80268838,11786873.658537928,9451924.445823427,1146527.7028926562,8560041.826608941,1596634.5344708287,348086.0577206494,392787.47641557286,317361.2133740998,265617.60377668135
2021-10-29,43510983.446118556,30702493.938352417,33029441.384768464,11749893.110356815,9467799.973844724,1145206.7079415766,8569821.164514206,1596622.0168870152,349160.6518896754,396430.4060414861,317337.72138478595,265953.962835241
2021-11-01,43712015.82880322,30776513.137052,33179122.076577272,11796453.346289512,9526394.639785003,1145865.0896251253,8628968.29993386,1601170.8514165205,350013.04115177144,393046.9159323534,318414.8712737462,267047.34738736396
