Date,Defensive
2011-11-25,3006889.1320924466
2011-12-02,3000859.296105741
2011-12-09,3012143.257566769
2011-12-16,3083721.676314606
2011-12-23,3120066.141310511
2011-12-30,3088756.2596135787
2012-01-06,3090080.3289122107
2012-01-13,3117460.9101157775
2012-01-20,3115214.546709846
2012-01-27,3092806.72777636
2012-02-03,3085034.103519473
2012-02-10,3100227.042962901
2012-02-17,3098225.6391068553
2012-02-24,3107467.5206970465
2012-03-02,3099871.8479403853
2012-03-09,3146664.277294782
2012-03-16,3157607.978154012
2012-03-23,3204319.4583521197
2012-03-30,3204017.8913055537
2012-04-06,3162043.2120010834
2012-04-13,3186963.133795693
2012-04-20,3242530.555516455
2012-04-27,3259882.543331488
2012-05-04,3252730.031414326
2012-05-11,3212214.193413679
2012-05-18,3216746.6099315747
2012-05-25,3190575.1887440546
2012-06-01,3190366.569212574
2012-06-08,3242069.856737633
2012-06-15,3213944.9117724802
2012-06-22,3250700.1235228735
2012-06-29,3328060.144735708
2012-07-06,3299480.755867676
2012-07-13,3344277.1006195787
2012-07-20,3322106.8929852895
2012-07-27,3324015.525353232
2012-08-03,3330759.792580431
2012-08-10,3350164.9703810425
2012-08-17,3317554.073573208
2012-08-24,3304703.8737544976
2012-08-31,3366184.787312194
2012-09-07,3375453.160208733
2012-09-14,3409325.7838890734
2012-09-21,3394170.7683943408
2012-09-28,3412265.0686903363
2012-10-05,3379308.330482743
2012-10-12,3418240.752654671
2012-10-19,3343319.3012284697
2012-10-26,3363637.725789973
2012-11-02,3287001.9339620643
2012-11-09,3292105.4209382986
2012-11-16,3356128.373073248
2012-11-23,3401565.938983632
2012-11-30,3399281.6042282283
2012-12-07,3432141.504993033
2012-12-14,3432036.725036817
2012-12-21,3371088.792933912
2012-12-28,3474535.2363268426
2013-01-04,3506972.571890096
2013-01-11,3534822.768679558
2013-01-18,3554835.9855772112
2013-01-25,3578273.7915975885
2013-02-01,3652670.0821587485
2013-02-08,3625903.7834264906
2013-02-15,3670659.1344988015
2013-02-22,3734853.826134332
2013-03-01,3777015.4476775406
2013-03-08,3813871.201366219
2013-03-15,3841181.1220948645
2013-03-22,3944682.2084278655
2013-03-29,3937938.29761974
2013-04-05,3998339.6671844767
2013-04-12,4008868.067348133
2013-04-19,4041478.1587314866
2013-04-26,4058236.7766102375
2013-05-03,4036507.8541573035
2013-05-10,4129075.347981873
2013-05-17,4076743.062479513
2013-05-24,4032822.400675758
2013-05-31,3970285.2134469864
2013-06-07,4007099.235958544
2013-06-14,3878585.992001949
2013-06-21,3982319.3079495295
2013-06-28,3975051.1764868135
2013-07-05,4096031.2888111197
2013-07-12,4116394.723724525
2013-07-19,4137783.459974704
2013-07-26,4180722.488681853
2013-08-02,4168870.2808164526
2013-08-09,4060776.4427280086
2013-08-16,4021425.187112497
2013-08-23,3960594.163820391
2013-08-30,3973974.3140630624
2013-09-06,4035244.9864140893
2013-09-13,4132504.2433127933
2013-09-20,4063103.85736003
2013-09-27,3973842.758649901
2013-10-04,4043422.7420591707
2013-10-11,4147690.1037709955
2013-10-18,4187600.58090152
2013-10-25,4233234.525689177
2013-11-01,4245522.998072092
2013-11-08,4315126.027594419
2013-11-15,4302929.40055231
2013-11-22,4333784.5314527005
2013-11-29,4269142.01536327
2013-12-06,4230788.408218098
2013-12-13,4289827.032942807
2013-12-20,4328554.166635051
2013-12-27,4305879.577710011
