Date,SPY
2007-12-21,1157636.6220500728
2007-12-28,1135607.944968109
2008-01-04,1107622.1876154062
2008-01-11,1046004.7013096459
2008-01-18,1058233.749169327
2008-01-25,1076891.7884272952
2008-02-01,1049924.1667367816
2008-02-08,1059645.2840543918
2008-02-15,1056666.1981143372
2008-02-22,1072971.9871203532
2008-02-29,1027425.2579263017
2008-03-07,1032049.9869762604
2008-03-14,1035421.6324396748
2008-03-21,1046062.1367564859
2008-03-28,1079623.163010363
2008-04-04,1071587.658499581
2008-04-11,1079702.178734744
2008-04-18,1089707.5343382522
2008-04-25,1111765.5169332963
2008-05-02,1096324.8703377994
2008-05-09,1122874.6575495452
2008-05-16,1099082.275605839
2008-05-23,1102942.458247201
2008-05-30,1109087.3792994923
2008-06-06,1059218.6327307145
2008-06-13,1058982.5931969895
2008-06-20,1015269.5158342978
2008-06-27,1000067.7637508772
2008-07-04,992071.389237504
2008-07-11,991279.4686247116
2008-07-18,993733.9103076643
2008-07-25,1004184.8104739415
2008-08-01,1005610.2843709585
2008-08-08,1025641.6521860486
2008-08-15,1011865.1220897905
2008-08-22,1030787.6666950486
2008-08-29,982015.8196029867
2008-09-05,993733.9103076643
2008-09-12,950662.1954346881
2008-09-19,961898.5505274908
2008-09-26,890705.5508000574
2008-10-03,722279.7976189817
2008-10-10,746727.6490042591
2008-10-17,730163.7363672685
2008-10-24,766874.9793223995
2008-10-31,723554.1256032612
2008-11-07,726022.8421779723
2008-11-14,600838.1712620903
2008-11-21,708503.351492675
2008-11-28,679277.6518508404
2008-12-05,700301.3345680274
2008-12-12,711051.2517316702
2008-12-19,695710.0255587738
2008-12-26,724450.588805697
2009-01-02,730872.946577813
2009-01-09,677566.5961487014
2009-01-16,664320.336296297
2009-01-23,678770.8931934126
2009-01-30,678931.4017557445
2009-02-06,671626.1419283632
2009-02-13,627632.3530177373
2009-02-20,607080.3295182425
2009-02-27,552329.2760732158
2009-03-06,606117.1941742991
2009-03-13,633733.5257252863
2009-03-20,671985.8692006783
2009-03-27,674573.1933319126
2009-04-03,693816.7550618346
2009-04-10,699395.8865807789
2009-04-17,690259.4100506322
2009-04-24,706834.4487061994
2009-05-01,734648.9073577998
2009-05-08,723167.1920666534
2009-05-15,721307.6774902255
2009-05-22,735134.1697076384
2009-05-29,764322.376766119
2009-06-05,766667.237662337
2009-06-12,745644.94044935
2009-06-19,748718.8284646715
2009-06-26,730260.6376913234
2009-07-03,716925.7055701131
2009-07-10,757093.5715795973
2009-07-17,794090.7322196567
2009-07-24,802302.9934783897
2009-07-31,812223.2875210071
2009-08-07,825883.2673245544
2009-08-14,821167.2629372923
2009-08-21,840763.5824335533
2009-08-28,818402.4683135189
2009-09-04,852065.7699683483
2009-09-11,871336.6219325147
2009-09-18,857921.5824775535
2009-09-25,841255.0585598046
2009-10-02,870993.5207106008
2009-10-09,896319.7817587372
2009-10-16,893215.4966209652
2009-10-23,871320.0798520651
2009-10-30,872954.0511387081
2009-11-06,890764.833585831
2009-11-13,897218.6800897672
2009-11-20,909964.1431513015
2009-11-27,901793.8668683289
2009-12-04,903918.474581708
2009-12-11,900159.8955816858
2009-12-18,923898.4527864673
2009-12-25,915355.937708403
2010-01-01,937943.9386374465
2010-01-08,944021.8516684241
2010-01-15,917491.2935755766
2010-01-22,891782.1295485053
2010-01-29,874286.4023594885
2010-02-05,888167.7269552444
2010-02-12,911002.5155718076
2010-02-19,909030.817140148
2010-02-26,925212.16267801
2010-03-05,948293.5710421897
